strain	accession	name	segment	date	host	country	abbreviation	virus
11475C4/SD/CHN	KJ772432	11475C4/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
115_2	KC878537	115_2		2012-04-01	Human	China	C4	Enterovirus_A71
115970_BRU_06	DQ906174	115970_BRU_06		20XX-XX-XX	Unknown	Brunei		Enterovirus_A71
115B_YN_2012HC	AB759912	115B_YN_2012HC		2012-09-27	Human	China		Enterovirus_A71
116/EV71/Wenzhou/CHN/2014	KT008672	116/EV71/Wenzhou/CHN/2014		2014-06-02	Human	China	C4a	Enterovirus_A71
117/HZ/GD/CHN/2011	JX103503	117/HZ/GD/CHN/2011		2011-XX-XX	Human	China		Enterovirus_A71
117/NX/CHN/2008	HM212461	117/NX/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
118_Henan_2014	KM260053	118_Henan_2014		2014-02-12	Human	China		Enterovirus_A71
1186_Yamagata_2003	AB936455	1186_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1196_Yamagata_2003	AB936456	1196_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1197_Yamagata_2003	AB936457	1197_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
12_2009	KM288741	12_2009		2009-06-18	Human	China	A	Enterovirus_A71
120/LY/CHN/AM/10/EV71	KF150169	120/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
1201/NC/CHN/2012	JX427561	1201/NC/CHN/2012		2012-06-XX	Human	China	EV71	Enterovirus_A71
1203/NC/CHN/2012	JX427562	1203/NC/CHN/2012		2012-06-XX	Human	China	EV71	Enterovirus_A71
120465/GZ/2012/EV71	KJ865518	120465/GZ/2012/EV71		2012-XX-XX	Human	China		Enterovirus_A71
121/SHENZHEN/08/China/HFMD_Fatal/2008	FJ607337	121/SHENZHEN/08/China/HFMD_Fatal/2008		2008-05-XX	Human	China		Enterovirus_A71
1213845/GZ/2012/EV71	KJ865525	1213845/GZ/2012/EV71		2012-XX-XX	Human	China		Enterovirus_A71
122_Luan_CHN__10	JF937668	122_Luan_CHN__10		2010-07-XX	Human	China	C	Enterovirus_A71
12256/SD/CHN	KJ772433	12256/SD/CHN		2012-XX-XX	Human	China	A71	Enterovirus_A71
12295/SD/CHN	KJ772434	12295/SD/CHN		2012-XX-XX	Human	China	A71	Enterovirus_A71
123/LY/CHN/AM/10/EV71	KF150170	123/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
1232_Yamagata_2003	AB936458	1232_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1235	DQ133459	1235		2004-XX-XX	Unknown	Taiwan		Enterovirus_A71
123710/GZ/2012/EV71	KJ865519	123710/GZ/2012/EV71		2012-XX-XX	Human	China		Enterovirus_A71
1238_Yamagata_2003	AB936449	1238_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1245a/98/tw	AF176044	1245a/98/tw		20XX-XX-XX	Unknown	Taiwan		Enterovirus_A71
126_Luan_CHN__10	JF937669	126_Luan_CHN__10		2010-07-XX	Human	China	C	Enterovirus_A71
1269_Yamagata_2003	AB936459	1269_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
127/LY/CHN/AM/10/EV71	KF150171	127/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
127583/GZ/2012/EV71	KJ865520	127583/GZ/2012/EV71		2012-XX-XX	Human	China		Enterovirus_A71
128/LY/CHN/AM/10/EV71	KF150172	128/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
129157/GZ/2012/EV71	KJ865521	129157/GZ/2012/EV71		2012-XX-XX	Human	China		Enterovirus_A71
129ZY_2010	JX203297	129ZY_2010		2010-10-30	Human	China	EV71	Enterovirus_A71
13_2	KC878531	13_2		2012-04-01	Human	China	C4	Enterovirus_A71
13_2009	KM288742	13_2009		2009-06-18	Human	China	A	Enterovirus_A71
13_Henan_2014	KM260042	13_Henan_2014		2014-01-05	Human	China		Enterovirus_A71
13004/SD/CHN	KJ772435	13004/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
1302_Yamagata_2003	AB936461	1302_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1305_Yamagata_2010	AB936517	1305_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
13061/SD/CHN	KJ772436	13061/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
13112/SD/CHN	KJ772437	13112/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
1311423/GZ/2013/EV71	KJ865526	1311423/GZ/2013/EV71		2013-XX-XX	Human	China		Enterovirus_A71
13138/SD/CHN	KJ772438	13138/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
13164/SD/CHN	KJ772439	13164/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
13168/SD/CHN	KJ772440	13168/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
13175/SD/CHN	KJ772441	13175/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
13196/SD/CHN	KJ772442	13196/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
1320_Yamagata_2003	AB936462	1320_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1320703/GZ/2013/EV71	KJ865527	1320703/GZ/2013/EV71		2013-XX-XX	Human	China		Enterovirus_A71
1322103/GZ/2013/EV71	KJ865528	1322103/GZ/2013/EV71		2013-XX-XX	Human	China		Enterovirus_A71
1328233/GZ/2013/EV71	KJ865529	1328233/GZ/2013/EV71		2013-XX-XX	Human	China		Enterovirus_A71
1330_Yamagata_2003	AB936460	1330_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
13384_EV71_RUS_2001	KC879485	13384_EV71_RUS_2001		2001-XX-XX	Unknown	Russia		Enterovirus_A71
13390/SD/CHN	KJ772443	13390/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
13411/SD/CHN	KJ772444	13411/SD/CHN		2013-XX-XX	Human	China	A71	Enterovirus_A71
135520/GZ/2013/EV71	KJ865522	135520/GZ/2013/EV71		2013-XX-XX	Human	China		Enterovirus_A71
1358_Yamagata_2010	AB936518	1358_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1362_Yamagata_2010	AB936519	1362_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1372_Yamagata_2003	AB936465	1372_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1374_Yamagata_2003	AB936466	1374_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
139H/SD/CHN/2010	KF704050	139H/SD/CHN/2010		2010-XX-XX	Human	China	71	Enterovirus_A71
14_2009	KM288743	14_2009		2009-06-18	Human	China	A	Enterovirus_A71
14_Henan_2014	KM260043	14_Henan_2014		2014-01-05	Human	China		Enterovirus_A71
1404_Luan_CHN__08	GQ117126	1404_Luan_CHN__08		2008-05-XX	Human	China		Enterovirus_A71
1407_Yamagata_2010	AB936513	1407_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1416_Yamagata_2010	AB936514	1416_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
143_Henan_2011	KM260014	143_Henan_2011		2011-01-24	Human	China		Enterovirus_A71
1437_Yamagata_2013	AB936561	1437_Yamagata_2013		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1469_Yamagata_2001	AB936439	1469_Yamagata_2001		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
148_Yamagata_2010	AB936507	148_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1486_Yamagata_2003	AB936467	1486_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1496_Yamagata_2007	AB936492	1496_Yamagata_2007		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1499_Yamagata_2013	AB936557	1499_Yamagata_2013		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
14QN_2010	JX203307	14QN_2010		2010-10-30	Human	China	EV71	Enterovirus_A71
15_2009	KM288744	15_2009		2009-06-18	Human	China	A	Enterovirus_A71
15_AUT2001	FN675342	15_AUT2001		2001-XX-XX	Unknown	Austria		Human_enterovirus_71
15_Henan_2014	KM260044	15_Henan_2014		2014-01-05	Human	China		Enterovirus_A71
15_YN_2007AFP.	JQ886661	15_YN_2007AFP.		2007-XX-XX	Human	China		Enterovirus_A71
15/GD/China/2010	JF519714	15/GD/China/2010		2010-XX-XX	Human	China		Enterovirus_A71
1516_Yamagata_2012	AB936524	1516_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1518_Yamagata_2012	AB936525	1518_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
152_Henan_2014	KM260054	152_Henan_2014		2014-03-23	Human	China		Enterovirus_A71
1526_Yamagata_2003	AB936468	1526_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
153_Henan_2011	KM260015	153_Henan_2011		2011-01-24	Human	China		Enterovirus_A71
1545_Yamagata_2003	AB936469	1545_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
156_Henan_2013	KM260027	156_Henan_2013		2013-01-10	Human	China		Enterovirus_A71
156/NC/CHN/2014	KP171502	156/NC/CHN/2014		2014-06-12	Human	China		Enterovirus_A71
157_Henan_2013	KM260028	157_Henan_2013		2013-01-10	Human	China		Enterovirus_A71
1571_Henan_2012	KM260022	1571_Henan_2012		2012-06-23	Human	China		Enterovirus_A71
1573_Henan_2012	KM260023	1573_Henan_2012		2012-06-23	Human	China		Enterovirus_A71
1576_Henan_2012	KM260024	1576_Henan_2012		2012-06-23	Human	China		Enterovirus_A71
158/NC/CHN/2014	KP171503	158/NC/CHN/2014		2014-07-02	Human	China		Enterovirus_A71
1586_Yamagata_2003	AB936471	1586_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
158TS_SVN_11	KF557488	158TS_SVN_11		2011-06-01	Human	Viet Nam	EV71	Enterovirus_A71
159/NC/CHN/2014	KP171504	159/NC/CHN/2014		2014-07-02	Human	China		Enterovirus_A71
16_2009	KM288745	16_2009		2009-06-18	Human	China	A	Enterovirus_A71
16_Henan_2014	KM260045	16_Henan_2014		2014-01-05	Human	China		Enterovirus_A71
16/GD/China/2010	JF519709	16/GD/China/2010		2010-XX-XX	Human	China		Enterovirus_A71
160ZY_2010	JX203298	160ZY_2010		2010-10-30	Human	China	EV71	Enterovirus_A71
1613_Yamagata_2010	AB936520	1613_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1615_Yamagata_2012	AB936541	1615_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1618_Yamagata_2003	AB936472	1618_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1629_Yamagata_2003	AB936473	1629_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
163_Henan_2014	KM260055	163_Henan_2014		2014-03-23	Human	China		Enterovirus_A71
163/NC/CHN/2014	KP171505	163/NC/CHN/2014		2014-07-02	Human	China		Enterovirus_A71
164/NC/CHN/2014	KP171506	164/NC/CHN/2014		2014-07-04	Human	China		Enterovirus_A71
1647_Yamagata_2012	AB936526	1647_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
165/NC/CHN/2014	KP171507	165/NC/CHN/2014		2014-07-04	Human	China		Enterovirus_A71
1656_Yamagata_2012	AB936542	1656_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
166_YN_2010	AB725677	166_YN_2010		2010-XX-XX	Human	China	71	Enterovirus_A71
166/NC/CHN/2014	KP171508	166/NC/CHN/2014		2014-07-04	Human	China		Enterovirus_A71
1660_Yamagata_2012	AB936543	1660_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1669_Yamagata_2003	AB936463	1669_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
167/NC/CHN/2014	KP171509	167/NC/CHN/2014		2014-07-04	Human	China		Enterovirus_A71
1670_Yamagata_2003	AB936464	1670_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1670_Yamagata_2012	AB936527	1670_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1682_Yamagata_2012	AB936528	1682_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1689_Yamagata_2012	AB936544	1689_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1698_Yamagata_2012	AB936529	1698_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1699_Yamagata_2012	AB936530	1699_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
17_2009	KM288746	17_2009		2009-06-18	Human	China	A	Enterovirus_A71
17_Henan_2014	KM260046	17_Henan_2014		2014-01-05	Human	China		Enterovirus_A71
170_Henan_2011	KM260016	170_Henan_2011		2011-01-24	Human	China		Enterovirus_A71
1701_Yamagata_2012	AB936531	1701_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1702_Yamagata_2010	AB936516	1702_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1717_Yamagata_2003	AB936450	1717_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
173_Henan_2011	KM260017	173_Henan_2011		2011-01-24	Human	China		Enterovirus_A71
174/NX/CHN/2008	HM212462	174/NX/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
1749_Yamagata_2012	AB936545	1749_Yamagata_2012		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
