strain	accession	name	segment	date	host	country	abbreviation	virus
001_Luan_CHN__08	GQ117124	001_Luan_CHN__08		2008-05-XX	Human	China	A	Enterovirus_A71
003/XM/2010	HQ850973	003/XM/2010		2010-XX-XX	Human	China		Enterovirus_A71
01_2009	KM288730	01_2009		2009-06-18	Human	China	A	Enterovirus_A71
01011Y	JX017384	01011Y		2011-XX-XX	Human	China	EV71	Enterovirus_A71
02_0_023	KP691657	02_0_023		2013-08-21	Unknown	Viet Nam		Enterovirus_A71
02_0_024	KP691664	02_0_024		2013-08-26	Unknown	Viet Nam		Enterovirus_A71
02_0_035	KP691653	02_0_035		2013-09-11	Unknown	Viet Nam		Enterovirus_A71
02_0_049	KP691663	02_0_049		2013-09-25	Unknown	Viet Nam		Enterovirus_A71
02_0_060	KP691652	02_0_060		2013-10-16	Unknown	Viet Nam		Enterovirus_A71
02_0_065	KP691659	02_0_065		2013-10-21	Unknown	Viet Nam		Enterovirus_A71
02_0_068	KP691656	02_0_068		2013-10-28	Unknown	Viet Nam		Enterovirus_A71
02_0_070	KP691646	02_0_070		2013-10-28	Unknown	Viet Nam		Enterovirus_A71
02_0_071	KP691647	02_0_071		2013-10-30	Unknown	Viet Nam		Enterovirus_A71
02_0_072	KP691650	02_0_072		2013-11-04	Unknown	Viet Nam		Enterovirus_A71
02_0_079	KP691643	02_0_079		2013-11-11	Unknown	Viet Nam		Enterovirus_A71
02_0_083	KP691655	02_0_083		2013-11-13	Unknown	Viet Nam		Enterovirus_A71
02_0_090	KP691658	02_0_090		2013-11-25	Unknown	Viet Nam		Enterovirus_A71
02_1_005	KP691662	02_1_005		2013-07-19	Unknown	Viet Nam		Enterovirus_A71
02_1_008	KP691654	02_1_008		2013-07-20	Unknown	Viet Nam		Enterovirus_A71
02_1_042	KP691651	02_1_042		2013-09-12	Unknown	Viet Nam		Enterovirus_A71
02_1_043	KP691648	02_1_043		2013-09-18	Unknown	Viet Nam		Enterovirus_A71
02_1_055	KP691645	02_1_055		2013-10-06	Unknown	Viet Nam		Enterovirus_A71
02_1_065	KP691661	02_1_065		2013-10-25	Unknown	Viet Nam		Enterovirus_A71
02_1_067	KP691660	02_1_067		2013-10-28	Unknown	Viet Nam		Enterovirus_A71
02_1_075	KP691666	02_1_075		2013-11-19	Unknown	Viet Nam		Enterovirus_A71
02_2009	KM288731	02_2009		2009-06-18	Human	China	A	Enterovirus_A71
02363_Thai_02	AB115495	02363_Thai_02		20XX-XX-XX	Unknown	Thailand		Human_enterovirus_71
03_0_002	KP691644	03_0_002		2013-11-06	Unknown	Viet Nam		Enterovirus_A71
03_0_003	KP691649	03_0_003		2013-11-06	Unknown	Viet Nam		Enterovirus_A71
03_2009	KM288732	03_2009		2009-06-18	Human	China	A	Enterovirus_A71
03_KOR_00	DQ341356	03_KOR_00		20XX-XX-XX	Unknown	South Korea		Enterovirus_A71
03284/SD/CHN/03	JQ326298	03284/SD/CHN/03		2003-XX-XX	Human	China		Enterovirus_A71
04_2009	KM288733	04_2009		2009-06-18	Human	China	A	Enterovirus_A71
04124/SD/CHN	KJ772420	04124/SD/CHN		2004-XX-XX	Human	China	A71	Enterovirus_A71
049/LY/CHN/AM/10/EV71	KF150164	049/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
05_2009	KM288734	05_2009		2009-06-18	Human	China	A	Enterovirus_A71
06_2009	KM288735	06_2009		2009-06-18	Human	China	A	Enterovirus_A71
06_KOR_00	DQ341355	06_KOR_00		20XX-XX-XX	Unknown	South Korea		Enterovirus_A71
060/GD/China/2009	JF519707	060/GD/China/2009		2009-03-30	Human	China		Enterovirus_A71
061/GD/China/2009	JF519706	061/GD/China/2009		2009-03-31	Human	China		Enterovirus_A71
063/GD/China/2009	JF519705	063/GD/China/2009		2009-03-31	Human	China		Enterovirus_A71
067/GD/China/2009	JF519704	067/GD/China/2009		2009-03-31	Human	China		Enterovirus_A71
07_2009	KM288736	07_2009		2009-06-18	Human	China	A	Enterovirus_A71
070/GD/China/2009	JF519703	070/GD/China/2009		2009-03-23	Human	China		Enterovirus_A71
07124/SD/CHN/07	JQ326299	07124/SD/CHN/07		2007-XX-XX	Human	China		Enterovirus_A71
07ZAO+3/SD/CHN	KJ772421	07ZAO+3/SD/CHN		2007-XX-XX	Human	China	A71	Enterovirus_A71
08_2/JL/CHN/2008	HM212452	08_2/JL/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
08_2009	KM288737	08_2009		2009-06-18	Human	China	A	Enterovirus_A71
08_5/YN/CHN/2008	HM212459	08_5/YN/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
08_7/JL/CHN/2008	HM212453	08_7/JL/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
08_8/HeN/CHN/2008	HM212451	08_8/HeN/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
08_8/JL/CHN/2008	HM212454	08_8/JL/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
082/NX/CHN/2008	HM212460	082/NX/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
08266/SD/CHN/08	JQ326300	08266/SD/CHN/08		2008-XX-XX	Human	China		Enterovirus_A71
084/LY/CHN/AM/10/EV71	KF150165	084/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
085/LY/CHN/AM/10/EV71	KF150166	085/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
09_1/HeN/CHN/2009	HM212465	09_1/HeN/CHN/2009		2009-XX-XX	Human	China		Enterovirus_A71
09_17/HeN/CHN/2009	HM212466	09_17/HeN/CHN/2009		2009-XX-XX	Human	China		Enterovirus_A71
09_20/HuB/CHN/2009	HM212436	09_20/HuB/CHN/2009		2009-XX-XX	Human	China		Enterovirus_A71
09_2009	KM288738	09_2009		2009-06-18	Human	China	A	Enterovirus_A71
09_29H/HuB/CHN/2009	HM212437	09_29H/HuB/CHN/2009		2009-XX-XX	Human	China		Enterovirus_A71
09_32H/HuB/CHN/2009	HM212438	09_32H/HuB/CHN/2009		2009-XX-XX	Human	China		Enterovirus_A71
09_33T/HuB/CHN/2009	HM212439	09_33T/HuB/CHN/2009		2009-XX-XX	Human	China		Enterovirus_A71
09_3803	JQ042704	09_3803		2009-XX-XX	Human	China	C4	Enterovirus_A71
09_3804	JQ042705	09_3804		2009-XX-XX	Human	China	C4	Enterovirus_A71
09_40H/HuB/CHN/2009	HM212440	09_40H/HuB/CHN/2009		2009-XX-XX	Human	China		Enterovirus_A71
09_4377	JQ042698	09_4377		2009-XX-XX	Human	China		Enterovirus_A71
09153/SD/CHN/09	JQ326301	09153/SD/CHN/09		2009-XX-XX	Human	China		Enterovirus_A71
09184C4/SD/CHN/09	JQ326302	09184C4/SD/CHN/09		2009-XX-XX	Human	China		Enterovirus_A71
09281/SD/CHN/09	JQ326303	09281/SD/CHN/09		2009-XX-XX	Human	China		Enterovirus_A71
09317/SD/CHN/09	JQ326304	09317/SD/CHN/09		2009-XX-XX	Human	China		Enterovirus_A71
0964/SYD/98	JN992285	0964/SYD/98		20XX-XX-XX	Human	Australia		Enterovirus_A71
1/SHENZHEN/08/China/HFMD/2008	FJ607334	1/SHENZHEN/08/China/HFMD/2008		2008-05-XX	Human	China		Enterovirus_A71
10_123	JQ042703	10_123		2010-XX-XX	Human	China	C4	Enterovirus_A71
10_2009	KM288739	10_2009		2009-06-18	Human	China	A	Enterovirus_A71
1011561/GZ/2010/EV71	KJ865523	1011561/GZ/2010/EV71		2010-XX-XX	Human	China		Enterovirus_A71
1014168/GZ/2010/EV71	KJ865524	1014168/GZ/2010/EV71		2010-XX-XX	Human	China		Enterovirus_A71
10176/SD/CHN/10	JQ326305	10176/SD/CHN/10		2010-XX-XX	Human	China		Enterovirus_A71
101842/GZ/2010/EV71	KJ865514	101842/GZ/2010/EV71		2010-XX-XX	Human	China		Enterovirus_A71
102/LY/CHN/AM/10/EV71	KF150167	102/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
1025/Rostov.RUS/2013	KR827490	1025/Rostov.RUS/2013		2013-06-10	Human	Russia	C4	Enterovirus_A71
103/LY/CHN/AM/10/EV71	KF150168	103/LY/CHN/AM/10/EV71		2010-XX-XX	Human	China		Enterovirus_A71
10351C4/SD/CHN	KJ772422	10351C4/SD/CHN		2010-XX-XX	Human	China	A71	Enterovirus_A71
1039_Yamagata_2010	AB936510	1039_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
104328/GZ/2010/EV71	KJ865515	104328/GZ/2010/EV71		2010-XX-XX	Human	China		Enterovirus_A71
105586/GZ/2010/EV71	KJ865516	105586/GZ/2010/EV71		2010-XX-XX	Human	China		Enterovirus_A71
1056_Yamagata_2003	AB936453	1056_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
108AS_2010	JX203361	108AS_2010		2010-10-30	Human	China	EV71	Enterovirus_A71
109/EV71/Wenzhou/CHN/2014	KT008671	109/EV71/Wenzhou/CHN/2014		2014-06-02	Human	China	C4a	Enterovirus_A71
1095_LPS1	AB550333	1095_LPS1		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1095_org	AB550332	1095_org		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1095/Japan_97	AB239757	1095/Japan_97		20XX-XX-XX	Unknown	Japan		Human_enterovirus_71
109834/GZ/2010/EV71	KJ865517	109834/GZ/2010/EV71		2010-XX-XX	Human	China		Enterovirus_A71
10QN_2010	JX203306	10QN_2010		2010-10-30	Human	China	EV71	Enterovirus_A71
10TR_2010	JX203357	10TR_2010		2010-10-30	Human	China	EV71	Enterovirus_A71
11_1	KC878539	11_1		2012-04-01	Human	China	C4	Enterovirus_A71
11_10	KC878547	11_10		2012-04-01	Human	China	C4	Enterovirus_A71
11_11	KC878548	11_11		2012-04-01	Human	China	C4	Enterovirus_A71
11_12	KC878549	11_12		2012-04-01	Human	China	C4	Enterovirus_A71
11_13	KC878550	11_13		2012-04-01	Human	China	C4	Enterovirus_A71
11_14	KC878551	11_14		2012-04-01	Human	China	C4	Enterovirus_A71
11_15	KC878529	11_15		2012-04-01	Human	China	C4	Enterovirus_A71
11_18	KC878552	11_18		2012-04-01	Human	China	C4	Enterovirus_A71
11_19	KC878553	11_19		2012-04-01	Human	China	C4	Enterovirus_A71
11_2	KC878540	11_2		2012-04-01	Human	China	C4	Enterovirus_A71
11_20	KC878554	11_20		2012-04-01	Human	China	C4	Enterovirus_A71
11_2009	KM288740	11_2009		2009-06-18	Human	China	A	Enterovirus_A71
11_3	KC878541	11_3		2012-04-01	Human	China	C4	Enterovirus_A71
11_4	KC878542	11_4		2012-04-01	Human	China	C4	Enterovirus_A71
11_6	KC878543	11_6		2012-04-01	Human	China	C4	Enterovirus_A71
11_7	KC878544	11_7		2012-04-01	Human	China	C4	Enterovirus_A71
11_8	KC878545	11_8		2012-04-01	Human	China	C4	Enterovirus_A71
11_9	KC878546	11_9		2012-04-01	Human	China	C4	Enterovirus_A71
11_Henan_2014	KM260041	11_Henan_2014		2014-01-05	Human	China		Enterovirus_A71
11/EV71/Wenzhou/CHN/2014	KT008670	11/EV71/Wenzhou/CHN/2014		2014-06-02	Human	China	C4a	Enterovirus_A71
11/HeB/CHN/2008	HM212445	11/HeB/CHN/2008		2008-XX-XX	Human	China		Enterovirus_A71
1102_Yamagata_2003	AB936454	1102_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
11061/SD/CHN	KJ772423	11061/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
1107_Henan_2010	KM260008	1107_Henan_2010		2010-06-22	Human	China		Enterovirus_A71
11072/SD/CHN	KJ772424	11072/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
1108_Yamagata_2010	AB936515	1108_Yamagata_2010		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
111_Yamagata_2013	AB936540	111_Yamagata_2013		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1111/GD/China/2010	JF519718	1111/GD/China/2010		2010-XX-XX	Human	China		Enterovirus_A71
111411_BRU_06	DQ906173	111411_BRU_06		20XX-XX-XX	Unknown	Brunei		Enterovirus_A71
11144C1/SD/CHN	KJ772425	11144C1/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
11144C5/SD/CHN	KJ772426	11144C5/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
1117_Yamagata_2000	AB936438	1117_Yamagata_2000		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
11171/SD/CHN	KJ772427	11171/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
112_B_YN_2012HC	AB759911	112_B_YN_2012HC		2012-09-20	Human	China		Enterovirus_A71
11236/SD/CHN	KJ772428	11236/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
1127/GD/China/2010	JF519717	1127/GD/China/2010		2010-XX-XX	Human	China		Enterovirus_A71
11298C1/SD/CHN	KJ772429	11298C1/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
113_Henan_2014	KM260052	113_Henan_2014		2014-02-12	Human	China		Enterovirus_A71
1131/GD/China/2010	JF519716	1131/GD/China/2010		2010-XX-XX	Human	China		Enterovirus_A71
11317/SD/CHN	KJ772430	11317/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
11318/SD/CHN	KJ772431	11318/SD/CHN		2011-XX-XX	Human	China	A71	Enterovirus_A71
1134/GD/China/2010	JF519715	1134/GD/China/2010		2010-XX-XX	Human	China		Enterovirus_A71
1138_Yamagata_2003	AB936447	1138_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1145_Yamagata_2003	AB936448	1145_Yamagata_2003		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
