strain	accession	name	segment	date	host	country	abbreviation	virus
B5_108	MH716365	B5_108	NA	2014_10_15	Human	Viet_Nam	B5	Human_enterovirus_71
B5_109	MH716366	B5_109	NA	2014_10_15	Human	Viet_Nam	B5	Human_enterovirus_71
B5_11	MH716268	B5_11	NA	2014_10_24	Human	Viet_Nam	B5	Human_enterovirus_71
B5_110	MH716367	B5_110	NA	2013_10_16	Human	Viet_Nam	B5	Human_enterovirus_71
B5_111	MH716368	B5_111	NA	2013_11_27	Human	Viet_Nam	B5	Human_enterovirus_71
B5_112	MH716369	B5_112	NA	2013_11_04	Human	Viet_Nam	B5	Human_enterovirus_71
B5_113	MH716370	B5_113	NA	2014_04_08	Human	Viet_Nam	B5	Human_enterovirus_71
B5_114	MH716371	B5_114	NA	2013_11_07	Human	Viet_Nam	B5	Human_enterovirus_71
B5_115	MH716372	B5_115	NA	2013_09_18	Human	Viet_Nam	B5	Human_enterovirus_71
B5_116	MH716373	B5_116	NA	2014_12_10	Human	Viet_Nam	B5	Human_enterovirus_71
B5_117	MH716374	B5_117	NA	2014_06_27	Human	Viet_Nam	B5	Human_enterovirus_71
B5_118	MH716375	B5_118	NA	2014_11_04	Human	Viet_Nam	B5	Human_enterovirus_71
B5_119	MH716376	B5_119	NA	2014_11_27	Human	Viet_Nam	B5	Human_enterovirus_71
B5_12	MH716269	B5_12	NA	2014_10_07	Human	Viet_Nam	B5	Human_enterovirus_71
B5_120	MH716377	B5_120	NA	2014_11_27	Human	Viet_Nam	B5	Human_enterovirus_71
B5_121	MH716378	B5_121	NA	2014_08_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_122	MH716379	B5_122	NA	2013_08_13	Human	Viet_Nam	B5	Human_enterovirus_71
B5_123	MH716380	B5_123	NA	2014_03_14	Human	Viet_Nam	B5	Human_enterovirus_71
B5_124	MH716381	B5_124	NA	2013_10_06	Human	Viet_Nam	B5	Human_enterovirus_71
B5_125	MH716382	B5_125	NA	2014_01_06	Human	Viet_Nam	B5	Human_enterovirus_71
