strain	accession	name	segment	date	host	country	abbreviation	virus
003/XM/2010	HQ850973	003/XM/2010		2010-XX-XX	Human	China		Enterovirus_A71
01011Y	JX017384	01011Y		2011-XX-XX	Human	China	EV71	Enterovirus_A71
02_0_023	KP691657	02_0_023		2013-08-21	Unknown	Viet Nam		Enterovirus_A71
02_0_024	KP691664	02_0_024		2013-08-26	Unknown	Viet Nam		Enterovirus_A71
02_0_035	KP691653	02_0_035		2013-09-11	Unknown	Viet Nam		Enterovirus_A71
02_0_049	KP691663	02_0_049		2013-09-25	Unknown	Viet Nam		Enterovirus_A71
02_0_060	KP691652	02_0_060		2013-10-16	Unknown	Viet Nam		Enterovirus_A71
02_0_065	KP691659	02_0_065		2013-10-21	Unknown	Viet Nam		Enterovirus_A71
02_0_068	KP691656	02_0_068		2013-10-28	Unknown	Viet Nam		Enterovirus_A71
02_0_070	KP691646	02_0_070		2013-10-28	Unknown	Viet Nam		Enterovirus_A71
02_0_071	KP691647	02_0_071		2013-10-30	Unknown	Viet Nam		Enterovirus_A71
02_0_072	KP691650	02_0_072		2013-11-04	Unknown	Viet Nam		Enterovirus_A71
02_0_079	KP691643	02_0_079		2013-11-11	Unknown	Viet Nam		Enterovirus_A71
02_0_083	KP691655	02_0_083		2013-11-13	Unknown	Viet Nam		Enterovirus_A71
02_0_090	KP691658	02_0_090		2013-11-25	Unknown	Viet Nam		Enterovirus_A71
02_1_005	KP691662	02_1_005		2013-07-19	Unknown	Viet Nam		Enterovirus_A71
02_1_008	KP691654	02_1_008		2013-07-20	Unknown	Viet Nam		Enterovirus_A71
02_1_042	KP691651	02_1_042		2013-09-12	Unknown	Viet Nam		Enterovirus_A71
02_1_043	KP691648	02_1_043		2013-09-18	Unknown	Viet Nam		Enterovirus_A71
02_1_055	KP691645	02_1_055		2013-10-06	Unknown	Viet Nam		Enterovirus_A71
02_1_065	KP691661	02_1_065		2013-10-25	Unknown	Viet Nam		Enterovirus_A71
02_1_067	KP691660	02_1_067		2013-10-28	Unknown	Viet Nam		Enterovirus_A71
02363_Thai_02	AB747375	02363_Thai_02		20XX-XX-XX	Unknown	Thailand		Enterovirus_A71
03_0_002	KP691644	03_0_002		2013-11-06	Unknown	Viet Nam		Enterovirus_A71
03_0_003	KP691649	03_0_003		2013-11-06	Unknown	Viet Nam		Enterovirus_A71
03_KOR_00	DQ341356	03_KOR_00		20XX-XX-XX	Unknown	South Korea		Enterovirus_A71
06_KOR_00	DQ341355	06_KOR_00		20XX-XX-XX	Unknown	South Korea		Enterovirus_A71
0964/SYD/98	JN992285	0964/SYD/98		20XX-XX-XX	Human	Australia		Enterovirus_A71
1/SHENZHEN/08/China/HFMD/2008	FJ607334	1/SHENZHEN/08/China/HFMD/2008		2008-05-XX	Human	China		Enterovirus_A71
109/EV71/Wenzhou/CHN/2014	KT008671	109/EV71/Wenzhou/CHN/2014		2014-06-02	Human	China	C4a	Enterovirus_A71
1095_LPS1	AB550333	1095_LPS1		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
1095_org	AB550332	1095_org		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
11/EV71/Wenzhou/CHN/2014	KT008670	11/EV71/Wenzhou/CHN/2014		2014-06-02	Human	China	C4a	Enterovirus_A71
116/EV71/Wenzhou/CHN/2014	KT008672	116/EV71/Wenzhou/CHN/2014		2014-06-02	Human	China	C4a	Enterovirus_A71
121/SHENZHEN/08/China/HFMD_Fatal/2008	FJ607337	121/SHENZHEN/08/China/HFMD_Fatal/2008		2008-05-XX	Human	China		Enterovirus_A71
1235	DQ133459	1235		2004-XX-XX	Unknown	Taiwan		Enterovirus_A71
1245a/98/tw	AF176044	1245a/98/tw		20XX-XX-XX	Unknown	Taiwan		Enterovirus_A71
1M_AUS_12_00	DQ341361	1M_AUS_12_00		20XX-XX-XX	Unknown	Australia		Enterovirus_A71
2006_52_9	KP266579	2006_52_9		2006-11-14	Human	China		Enterovirus_A71
2007_07364	EU527983	2007_07364		2007-XX-XX	Unknown	Taiwan		Enterovirus_A71
2007_08747	EU527985	2007_08747		2007-XX-XX	Unknown	Taiwan		Enterovirus_A71
2008_00643	HM622391	2008_00643		2008-XX-XX	Human	Taiwan		Enterovirus_A71
2008_07776	HM622392	2008_07776		2008-XX-XX	Human	Taiwan		Enterovirus_A71
2008_43_16	KP266572	2008_43_16		2008-12-02	Human	China		Enterovirus_A71
2009_02877	HM156065	2009_02877		2009-XX-XX	Human	Taiwan	B5	Enterovirus_A71
2009_03531	HM622390	2009_03531		2009-XX-XX	Human	Taiwan		Enterovirus_A71
2010FJLY008	HQ426649	2010FJLY008		2010-06-XX	Human	China		Enterovirus_A71
202/Jingdezhen/China/HFMD_Severe/2011	KC109780	202/Jingdezhen/China/HFMD_Severe/2011		2011-10-XX	Human	China	C4	Enterovirus_A71
236_TW86	FJ357379	236_TW86		1986-XX-XX	Human	Taiwan		Enterovirus_A71
237_TW86	FJ357380	237_TW86		1986-XX-XX	Human	Taiwan		Enterovirus_A71
238_TW86	FJ357382	238_TW86		1986-XX-XX	Human	Taiwan		Enterovirus_A71
244_TW86	FJ357381	244_TW86		1986-XX-XX	Human	Taiwan		Enterovirus_A71
252_TW86	FJ357383	252_TW86		1986-XX-XX	Human	Taiwan		Enterovirus_A71
266_TW86	FJ357384	266_TW86		1986-XX-XX	Human	Taiwan		Enterovirus_A71
26M/AUS/4/99	EU376005	26M/AUS/4/99		20XX-XX-XX	Unknown	Australia		Enterovirus_A71
26M/AUS/4/99/GuaR1	JQ950555	26M/AUS/4/99/GuaR1		2010-09-13	Human	Australia	B3	Enterovirus_A71
28/SHENZHEN/08/China/HFMD/2008	FJ607336	28/SHENZHEN/08/China/HFMD/2008		2008-05-XX	Human	China		Enterovirus_A71
306A	KJ746493	306A		2010-XX-XX	Human	China		Enterovirus_A71
306B	KJ746494	306B		2010-XX-XX	Human	China		Enterovirus_A71
3149	JQ280307	3149		2008-XX-XX	Human	Taiwan		Enterovirus_A71
35/Jingdezhen/China/HFMD_Severe/2011	JQ806378	35/Jingdezhen/China/HFMD_Severe/2011		2011-03-XX	Human	China	C4A	Enterovirus_A71
3799_SIN_98	DQ341354	3799_SIN_98		20XX-XX-XX	Unknown	Singapore		Enterovirus_A71
4/EV71/Wenzhou/CHN/2014	KT008669	4/EV71/Wenzhou/CHN/2014		2014-06-02	Human	China	C4a	Enterovirus_A71
4/SHENZHEN/08/China/HFMD/2008	FJ607335	4/SHENZHEN/08/China/HFMD/2008		2008-05-XX	Human	China		Enterovirus_A71
4643_TW98	JN544418	4643_TW98		1998-04-27	Human	China	C2	Enterovirus_A71
518_03F/SD/CHN/07	EU753365	518_03F/SD/CHN/07		2007-05-18	Human	China		Enterovirus_A71
521_18S/SD/CHN/07	EU753375	521_18S/SD/CHN/07		2007-05-21	Human	China		Enterovirus_A71
522_04T/SD/CHN/07	EU753384	522_04T/SD/CHN/07		2007-05-22	Human	China		Enterovirus_A71
523_05T/SD/CHN/07	EU753397	523_05T/SD/CHN/07		2007-05-23	Human	China		Enterovirus_A71
523_07T/SD/CHN/07	EU753398	523_07T/SD/CHN/07		2007-05-23	Human	China		Enterovirus_A71
540V/VNM/05	JQ965759	540V/VNM/05		20XX-XX-XX	Human	Viet Nam		Enterovirus_A71
5511_SIN_00	DQ341364	5511_SIN_00		20XX-XX-XX	Unknown	Singapore		Enterovirus_A71
605/SHENZHEN/08/China/HFMD_Severe/2008	FJ607338	605/SHENZHEN/08/China/HFMD_Severe/2008		2008-05-XX	Human	China		Enterovirus_A71
6F/AUS/6/99	DQ381846	6F/AUS/6/99		20XX-XX-XX	Unknown	Australia		Enterovirus_A71
75_Yamagata_LPS1	AB550339	75_Yamagata_LPS1		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
75_Yamagata_org	AB550338	75_Yamagata_org		20XX-XX-XX	Unknown	Japan		Enterovirus_A71
7F_AUS_6_99	DQ341357	7F_AUS_6_99		20XX-XX-XX	Unknown	Australia		Enterovirus_A71
804/NO/03	DQ452074	804/NO/03		2003-XX-XX	Unknown	Norway		Enterovirus_A71
87_2008_Xi'an_Shaanxi	MK904809	87_2008_Xi'an_Shaanxi		2018-11-20	Human	China		Human_enterovirus_71
984	DQ133458	984		2004-XX-XX	Unknown	Taiwan		Enterovirus_A71
A2011125	KF134486	A2011125		2011-XX-XX	Human	Taiwan		Enterovirus_A71
AFP2001064/EV71/GX/CHN/2001	JQ742001	AFP2001064/EV71/GX/CHN/2001		2001-04-XX	Human	China	71	Enterovirus_A71
AFP2001071/EV71/GX/CHN/2001	JQ742002	AFP2001071/EV71/GX/CHN/2001		2001-04-XX	Human	China	71	Enterovirus_A71
AH01	JF820315	AH01		2010-03-XX	Human	China		Enterovirus_A71
AH08/06	HQ611148	AH08/06		2008-XX-XX	Human	China	C4	Enterovirus_A71
Anhui1_09_China	GQ994988	Anhui1_09_China		2009-04-XX	Human	China	C4	Enterovirus_A71
Anhui2007	KC954662	Anhui2007		2007-XX-XX	Human	China	71	Enterovirus_A71
B5_03172_TW_2011	KF154354	B5_03172_TW_2011		2011-11-05	Human	Taiwan	B5	Enterovirus_A71
B5_96015_TW_2012	KF154355	B5_96015_TW_2012		2012-04-18	Human	Taiwan	B5	Enterovirus_A71
B5_NHRIH2011043_V110703172_TW_Nov_5_11	KF306100	B5_NHRIH2011043_V110703172_TW_Nov_5_11		2011-11-05	Human	Taiwan	B5	Enterovirus_A71
BC08	JQ514785	BC08		2008-08-XX	Human	China	C	Enterovirus_A71
BJ	JQ708209	BJ		2010-05-05	Human	China		Enterovirus_A71
